Le loup de mer  [enregistrement sonore] ,"Borel-Clerc, Charles, 1879-1959",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1070
Le loup de mer  [enregistrement sonore] ,"Borel-Clerc, Charles, 1879-1959",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1071
Ma Canadienne  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1072
Ma chanson du Nil My song of the Nile ,"Cartier, Jean",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1073
Ma grosse Julie chansonnette comique ,"Vérande, Louis, environ 1865-",1910,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1074
Ma Loulou-- mon amour  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1075
Ma maîtresse a du cragrin [sic] En faisant le tour de la montagne ,"LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1076
"Ma mie jolie sur l'air de ""Old pal, why don't you answer me?"" ","Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1077
Ma poupée chérie My dolly dear ,"Larochelle, Émile, 1891-1958",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1078
Ma prière My prayer ,"Parent, Lionel, 1905-1980",1939,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1079
Ma vigne et ma mie Noël d'Irlande ,"Cuvillier, Charles, 1877-1955",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1080
Madame Capulet Sur le pont du Nord ,"Cartier, Jean","1942, 1930","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/ark:/52327/1081
Madeleine  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1082
"Madelon, Madeleine Mirage ","Borel-Clerc, Charles, 1879-1959",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1083
Mae West en vacances Les p'tit's du quinz'sous [sic] ,"Nohcor, Alfred, né 1885",1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1084
Mais! quand on s'aime fox trot chanté ,"Perron, Fernand, 1903-1953",1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1085
Maître Pierre  [enregistrement sonore] ,"Dumont, Lucille, 1919-2016",1949,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1086
